name,affiliation,lettergroup,inferredgender,inferredethnicity,inferredisurm,highered,institution,research,country,role,security,field,simplefield
alexander lisyansky,queens college of cuny,B Only,man,white,noturm,highered,domesticother,lessri,NA,professor,moresecure,other,other
maria lioudyno,university of california irvine,B Only,woman,white,noturm,highered,domesticr1,moreri,NA,associate,moresecure,other,other
vrege amirkhanian,arkansas tech university,B Only,man,middleeast,noturm,highered,domesticother,lessri,NA,retired,moresecure,math,mathstat
anna lena horlemann,st gallen,B Only,woman,white,noturm,highered,international,moreri,switzerland,assistant,lesssecure,math,mathstat
david hansen,max planck institute for mathematics,B Only,man,white,noturm,highered,international,moreri,germany,NA,NA,math,mathstat
ivan blank,kansas state university,B Only,man,white,noturm,highered,domesticr1,moreri,NA,professor,moresecure,math,mathstat
jeff cheeger,courant institute new york university,B and C,man,white,noturm,highered,domesticr1,moreri,NA,professor,moresecure,math,mathstat
pawel gburzynski,university of alberta,B Only,man,white,noturm,highered,international,moreri,canada,retired,moresecure,comp,other
andrew staats,university of colorado,B Only,man,white,noturm,highered,domesticr1,moreri,NA,staff,lesssecure,other,other
eleftherios gkioulekas,university of texas rio grande valley,B Only,man,white,noturm,highered,domesticr2,lessri,NA,associate,moresecure,math,mathstat
john lott,university of california berkeley,B and C,man,white,noturm,highered,domesticr1,moreri,NA,professor,moresecure,math,mathstat
jon eugster,university of edinburgh,B Only,man,white,noturm,highered,international,moreri,NA,grad,lesssecure,math,mathstat
david duncan,james madison university,B Only,man,white,noturm,highered,domesticother,lessri,NA,assistant,lesssecure,math,mathstat
vadym kurylenko,university of hamburg,B Only,man,white,noturm,highered,international,moreri,germany,grad,lesssecure,math,mathstat
chad w jessup,NA,B Only,man,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
vladimir mandelshtam,university of california irvine,B Only,man,white,noturm,highered,domesticr1,moreri,NA,professor,moresecure,other,other
deane yang,new york university,B Only,man,asian,noturm,highered,domesticr1,moreri,NA,professor,moresecure,math,mathstat
richard borcherds,university of california berkeley,B Only,man,white,noturm,highered,domesticr1,moreri,NA,professor,moresecure,math,mathstat
sarah dean rasmussen,university of cambridge,B Only,woman,white,noturm,highered,international,moreri,NA,ntt,lesssecure,math,mathstat
jacob rasmussen,university of cambridge,B Only,man,white,noturm,highered,international,moreri,united kingdom,professor,moresecure,math,mathstat
mengyuan zhang,university of california berkeley,B Only,man,asian,noturm,highered,domesticr1,moreri,NA,grad,lesssecure,math,mathstat
christophe lecomte,NA,B Only,man,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
jim simons,simons foundation,B and C,man,white,noturm,nothighered,NA,NA,NA,NA,NA,NA,NA
scott armstrong,courant institute new york university,B and C,man,white,noturm,highered,domesticr1,moreri,NA,professor,moresecure,math,mathstat
mirela ciperiani,university of texas at austin,B Only,woman,white,noturm,highered,domesticr1,moreri,NA,associate,moresecure,math,mathstat
misha gromov,new york university,B and C,man,white,noturm,highered,domesticr1,moreri,NA,professor,moresecure,math,mathstat
alexander yong,university of illinois,B Only,man,asian,noturm,highered,domesticr1,moreri,NA,professor,moresecure,math,mathstat
jonathan novak,university of california san diego,B Only,man,black,urm,highered,domesticr1,moreri,NA,associate,moresecure,math,mathstat
mark rudelson,university of michigan,B Only,man,white,noturm,highered,domesticr1,moreri,NA,professor,moresecure,math,mathstat
nikos tzirakis,university of illinois,B Only,man,white,noturm,highered,domesticr1,moreri,NA,professor,moresecure,math,mathstat
vasileios chousionis,university of connecticut,B Only,man,white,noturm,highered,domesticr1,moreri,NA,associate,moresecure,math,mathstat
burak erdogan,university of illinois,B Only,man,middleeast,noturm,highered,domesticr1,moreri,NA,professor,moresecure,math,mathstat
lou van den dries,university of illinois,B Only,man,white,noturm,highered,domesticr1,moreri,NA,professor,moresecure,math,mathstat
alex buchel,western university,B Only,man,white,noturm,highered,international,moreri,canada,professor,moresecure,math,mathstat
nahum zobin,college of william and mary,B Only,man,white,noturm,highered,domesticr2,lessri,NA,professor,moresecure,math,mathstat
